coe,quad,exploit,explore,lin,fast
732,12511,443,7037,1878,4463
625,4449,1809,0,302,0
953,335,0,946,294,0
7123,146,149,0,289,874
0,5474,2006,159,6442,4721
2536,725,0,6628,481,3883
146,1017,453,4578,1577,1167
432,3600,0,440,476,5744
166,0,0,888,1010,0
1439,1004,0,145,0,289
431,1300,5607,576,0,290
1441,0,439,0,1161,0
0,583,1068,293,4918,282
295,0,6745,153,3879,1311
9214,744,296,0,9648,2856
0,2805,0,582,0,0
0,328,0,149,302,0
0,288,0,289,335,6464
1298,4349,737,589,7584,0
460,0,0,576,0,1383
2232,0,985,1031,2123,425
0,0,2030,828,0,611
0,9242,321,4759,296,0
431,583,953,1161,0,474
2585,1298,0,162,999,632
7200,452,453,0,366,887
3598,1130,289,1099,6780,6875
3103,0,450,868,289,495
0,787,1018,0,0,0
1296,496,174,712,1154,849
432,146,8647,144,6519,342
295,0,0,582,1725,1583
1884,0,1570,1116,192,10320
0,489,3382,0,582,431
208,0,146,6030,314,166
0,538,0,576,146,10041
510,1661,2214,725,295,1161
152,166,639,0,0,467
725,720,1453,0,1653,1856
302,1368,0,481,166,5979
10019,342,3151,587,481,289
888,510,3257,3606,881,301
147,0,0,0,0,632
335,1297,3592,0,335,1311
574,297,1031,296,144,2876
144,2760,146,0,848,2741
3588,0,0,10301,194,1596
0,12798,152,481,1619,881
0,147,1304,1261,2025,146
788,0,438,1012,481,289
1746,145,467,1575,582,295
0,867,4597,0,321,3902
0,581,2310,738,481,639
0,474,1005,0,0,0
183,581,295,431,562,1885
0,1780,1011,1261,681,450
632,1154,156,289,0,426
808,0,1318,1155,10379,439
431,0,1169,2332,932,432
321,289,314,808,10443,0
0,583,1427,0,6893,433
5145,589,439,1577,855,335
0,0,335,438,296,0
4922,787,744,149,1761,8535
0,289,144,724,474,1140
1882,1038,0,879,180,0
335,718,738,1011,289,588
868,595,0,0,0,9312
145,0,1734,604,22293,0
732,145,0,575,788,0
2024,0,0,611,0,1096
1739,660,0,569,1811,583
4015,335,828,153,145,1017
0,0,1224,1082,0,0
0,0,575,147,0,0
439,2441,0,1738,0,1168
425,288,0,10905,7896,425
0,587,0,140,1577,582
180,732,0,774,0,335
166,6497,149,474,0,780
737,862,294,5378,2287,2754
1753,751,0,2178,849,574
2162,295,3143,732,868,1161
1003,1154,2161,0,282,303
1804,0,0,5633,0,3721
1158,0,0,328,2447,1596
0,149,290,295,0,950
4976,15474,0,1011,681,877
1865,589,581,457,0,8156
0,2462,732,808,0,159
3898,1298,0,288,724,0
862,1325,0,289,1869,0
0,0,0,5245,288,524
146,5634,0,5095,283,814
0,1318,328,11516,294,0
0,3334,2310,0,0,446
1012,146,0,295,2577,295
0,0,166,0,733,349
431,0,438,0,146,0
1290,0,432,0,6576,0
517,876,445,439,8605,568
1173,4145,150,801,0,0
439,4816,576,0,4560,1005
0,166,296,429,568,1603
289,0,0,0,489,0
6062,1277,719,2311,882,2967
146,1420,1012,440,0,718
3177,8570,296,0,0,4490
869,0,0,2019,0,146
2143,0,0,953,10028,4756
0,0,444,794,6745,0
0,760,3335,149,618,150
1588,0,446,15378,289,0
1293,328,146,1044,2284,1739
2170,19074,1025,146,0,289
0,296,0,646,718,6433
849,0,518,173,0,0
5305,173,0,1597,0,321
915,953,6160,7232,632,9266
0,0,0,295,2429,0
3312,719,150,432,432,349
4457,302,474,328,342,2589
4120,2018,3878,1304,335,1577
0,310,1174,1298,1577,1231
0,446,814,342,3005,894
187,288,10439,1106,0,646
2203,10586,0,290,281,431
695,726,321,1160,1589,0
146,582,1296,1434,0,1123
737,342,0,311,141,2208
380,146,145,1154,0,5184
446,0,318,0,3572,0
5607,0,0,1031,0,0
2169,452,2039,0,1006,695
335,0,1106,2428,1156,1154
14345,187,1870,921,6570,6113
881,1714,625,0,991,296
281,0,159,283,524,723
0,438,0,432,575,0
0,2879,3888,1254,2883,0
1713,145,0,296,0,0
582,4800,1612,1120,583,438
1192,1610,510,0,1175,10470
974,0,597,653,1427,432
489,1011,723,723,510,0
173,2695,808,868,431,1998
2329,0,6302,1437,1603,1426
1168,1279,581,737,0,294
0,1127,1433,6849,0,294
2884,524,0,0,0,4170
187,0,0,595,1147,1032
146,147,0,295,7337,1017
440,474,296,0,289,725
0,595,509,2171,576,438
3767,159,496,3012,5021,1875
0,1140,563,1856,439,11047
1754,828,5614,4041,646,569
2834,282,2731,0,159,0
5146,723,0,2877,0,145
0,321,0,1584,646,296
0,0,0,581,3068,0
0,681,1156,439,0,152
180,1419,299,571,1113,1721
8129,1445,580,152,2343,295
1261,481,0,153,27487,0
295,489,289,0,282,0
173,821,27416,5407,0,0
0,0,0,0,295,302
290,0,439,1282,0,283
0,583,1284,3047,0,1106
3027,646,5153,0,321,0
0,874,1412,0,2167,5159
439,444,950,0,1018,295
3431,632,327,874,481,1023
445,1017,3714,0,575,277
432,1161,437,1211,8262,5321
737,342,0,296,0,2057
0,1120,576,0,0,0
0,14240,0,467,342,576
596,180,7744,488,145,149
1011,0,0,876,173,11145
0,0,283,1025,0,996
632,0,840,438,13753,288
0,646,2442,2754,880,439
0,773,289,152,0,0
8969,0,0,0,875,296
1440,1106,4131,0,575,474
576,874,146,3149,1134,173
211,4328,290,4451,349,0
1588,746,153,0,349,583
12061,2132,875,8521,328,290
445,0,294,581,467,148
1427,159,2161,433,0,296
842,0,653,597,1811,523
173,289,2721,0,2280,296
740,0,149,2466,335,7863
1147,289,1247,1018,0,2520
601,4041,0,2768,712,349
432,154,576,5900,173,1869
0,145,0,155,0,1596
4861,1618,1727,166,0,582
452,597,719,0,564,0
0,7207,10839,2441,2027,1164
0,575,3565,0,0,907
1447,1310,842,295,569,321
580,835,575,0,0,718
0,342,1556,1453,2135,1447
302,3168,0,328,0,588
145,1869,0,0,139,2013
283,2019,289,1591,0,583
0,437,939,4015,4886,589
0,646,877,510,0,282
9307,146,0,576,5146,0
289,2010,583,946,318,426
0,1604,439,733,712,0
1130,328,861,1383,14701,444
3755,646,1433,1140,0,1884
589,1434,9573,0,950,738
868,14584,953,3430,145,0
2266,444,426,0,0,0
738,439,0,1453,0,1149
146,0,0,287,8700,281
0,439,293,569,349,0
589,1591,296,3481,0,1869
0,1201,0,158,288,439
646,7548,438,1428,0,295
0,335,295,438,0,496
2707,611,445,8611,0,288
439,3151,0,0,2032,146
145,445,0,583,1151,295
432,4996,0,1217,426,15891
289,438,582,1707,2724,147
9754,1440,278,705,0,0
2914,946,0,753,1004,0
0,143,1830,0,590,0
437,1167,439,601,0,1720
718,2877,720,1304,0,744
718,159,1113,287,718,2453
611,1106,0,6486,0,510
738,1426,921,3741,173,582
296,732,0,0,0,874
0,0,0,0,0,510
0,0,0,432,0,9183
739,10306,488,881,0,524
639,146,1577,828,4562,1039
1439,0,867,445,474,180
2311,985,4326,0,180,0
0,738,281,660,328,0
1946,1120,860,978,0,0
0,0,5269,1160,0,0
295,5132,297,432,145,1434
1137,0,282,288,2513,0
5015,342,438,1123,0,869
991,0,0,731,2136,173
0,583,288,733,288,2298
1155,296,0,296,1162,3868
295,2139,0,295,0,681
0,349,0,2427,1284,568
1591,6543,0,1099,3155,321
467,0,589,1005,588,318
1823,2428,2864,1876,296,154
597,569,4846,1895,147,0
342,432,173,0,11230,732
1991,881,0,1556,349,0
0,862,0,0,474,848
0,288,903,0,730,0
0,0,0,159,1165,457
1434,582,440,0,3688,0
0,1603,570,731,289,0
576,0,419,0,1298,5316
4295,289,419,1368,1577,0
502,4128,896,1017,848,0
719,0,467,750,439,0
0,1311,270,166,4156,1584
0,1856,289,436,10635,145
1169,0,0,1446,842,0
588,0,289,5047,303,3151
849,7798,289,1182,147,440
2010,978,0,297,0,11445
289,2284,780,479,1398,2416
510,290,2176,2011,583,0
166,0,474,712,725,144
1460,0,787,147,0,2856
310,724,1160,0,166,646
0,0,0,9011,6392,0
1903,467,576,575,0,3163
0,0,3877,946,0,2035
9445,1589,0,145,0,1885
0,431,3468,290,0,569
474,0,583,0,0,4163
0,0,1410,2298,967,0
166,2329,1092,9998,0,453
576,0,146,0,444,1167
187,450,144,602,746,166
978,1233,595,153,0,282
1154,4183,589,0,725,451
0,5621,726,1864,0,1144
1099,0,295,425,8689,328
1018,1549,445,0,1018,427
3348,0,1707,1089,0,0
0,496,3306,861,525,861
432,10537,583,0,0,0
3177,1590,0,0,1596,3145
290,6198,856,1901,1017,0
438,282,0,328,601,1903
1760,2591,0,144,496,14669
808,432,281,432,0,595
808,1161,2591,581,294,1454
0,1415,0,584,1144,1120
349,146,854,0,1447,481
1311,4125,2318,8765,0,725
450,0,0,0,876,147
3015,328,0,457,2312,0
0,342,0,953,0,1361
2753,2360,288,0,0,4750
2639,0,731,718,0,716
0,0,0,738,335,1283
1459,302,0,632,758,3306
2135,0,711,2156,868,602
0,876,632,2851,583,289
321,0,0,0,328,144
145,618,0,0,4196,1462
1726,7896,0,0,7723,445
588,180,868,0,3236,289
335,0,1427,3976,8157,0
304,0,0,3347,583,595
283,730,907,313,13694,1289
971,632,3540,4041,1759,0
0,674,328,288,1297,574
0,1030,11171,3308,1570,989
418,800,5241,0,1277,0
746,0,2155,446,1064,23724
447,6234,849,733,875,290
882,146,589,2298,0,149
296,145,9580,946,440,0
1141,0,297,0,328,1896
5664,1862,426,467,0,481
295,0,0,7389,460,173
147,577,0,1231,912,438
719,151,4749,0,715,583
166,842,453,914,1160,0
328,0,625,2178,737,288
1877,180,2440,0,446,0
288,0,1123,0,0,713
0,0,1037,1375,0,496
2309,1882,2559,7096,0,7366
3441,0,467,0,0,725
1469,0,570,4307,474,321
0,860,308,147,166,0
0,588,2075,0,2520,0
6595,583,3580,731,148,0
0,3463,0,468,0,2672
639,445,932,0,295,503
445,0,0,0,0,0
964,289,145,1579,794,1577
460,431,0,0,2167,0
443,874,2143,165,4027,0
11035,296,595,503,0,0
1367,855,0,1996,0,4042
2529,1823,1128,2850,159,145
0,5083,0,1160,597,0
723,787,22059,290,582,1304
0,0,712,3155,0,1440
282,289,1018,467,0,1843
432,287,0,467,10573,868
705,0,2704,870,296,1292
14357,13166,0,582,0,1721
438,0,725,0,4018,10117
439,2882,4892,8199,815,1612
145,2740,725,653,2194,2746
0,445,921,719,147,719
719,978,0,438,1155,568
2728,718,146,903,583,0
582,1850,0,998,297,731
433,0,4424,6858,438,0
0,3334,142,0,328,6036
4908,1010,0,291,9200,146
145,1563,0,0,875,0
2968,148,431,289,1597,1166
744,992,18178,314,583,0
0,1005,146,582,4618,731
1404,289,143,296,0,1148
0,0,4281,889,2688,10904
0,2306,1256,6197,1185,510
288,1030,458,869,474,146
146,303,0,0,0,445
588,1167,0,646,3312,713
1452,458,5552,434,314,1168
295,0,147,426,294,173
0,1557,0,0,896,288
426,0,1441,724,439,0
7304,496,0,1445,632,0
2740,0,11126,0,0,0
159,321,0,431,321,289
7665,467,4273,153,145,1882
4426,3161,23424,0,295,0
0,3775,874,0,432,0
4041,821,0,287,0,876
1577,0,445,610,289,1405
0,0,1099,674,2606,2727
946,180,576,150,7814,0
438,1290,0,4600,517,593
21585,288,1141,1766,148,714
595,148,582,953,0,192
0,1160,0,0,1061,0
867,159,2570,1426,5490,960
2368,3184,1113,440,0,1434
1584,712,862,874,1099,604
349,660,293,1453,998,2339
1455,1310,0,432,3884,295
4585,145,1005,145,0,3312
180,0,0,444,1099,296
335,11431,156,2577,335,3568
1290,321,0,148,745,582
342,144,726,297,517,295
149,0,855,719,328,8878
821,0,0,166,1299,0
0,0,843,1474,443,702
1468,524,1297,1034,0,166
335,5035,0,434,0,0
0,1440,568,503,618,432
452,444,0,0,1160,328
0,288,874,0,707,296
2155,1158,460,1590,3892,0
1010,481,3294,0,1164,0
2331,3605,0,738,342,588
288,5227,3265,0,0,328
681,595,321,3586,828,328
446,0,327,474,0,296
667,0,2007,0,1438,6503
711,787,439,1719,295,335
166,335,1421,728,5425,437
328,0,864,1455,1724,0
1881,0,0,2336,971,159
2019,352,0,1036,646,152
0,0,998,433,1291,2293
1082,1426,0,152,875,0
964,2448,288,3840,453,426
0,451,991,3990,674,0
1889,289,1004,2162,869,13655
3319,2012,597,874,457,562
0,0,3068,0,488,0
2354,10034,342,1297,474,3001
432,1440,2795,719,308,2143
5068,3021,5320,0,443,1135
173,1442,0,3089,0,328
524,1147,2129,732,443,1433
433,433,2123,1018,725,0
517,1310,294,868,1023,2732
0,1576,0,0,148,0
0,289,597,310,0,1441
147,0,26459,446,0,1148
1889,314,960,639,288,356
1178,730,4113,147,869,984
2487,883,868,1024,1596,574
0,328,1324,439,4456,25959
0,1113,841,0,457,432
0,0,726,433,998,146
295,1182,460,146,596,2461
1701,0,3488,296,1174,3679
1169,0,787,724,467,0
1024,0,4769,583,856,2294
7402,481,874,1017,588,0
1746,1863,159,589,1298,144
0,0,0,3997,0,296
2064,0,433,868,145,0
431,11132,159,0,0,0
295,7576,1993,0,960,0
719,488,0,303,0,0
0,6979,2149,0,148,794
1304,4718,453,0,0,0
1673,581,869,1103,0,855
4295,801,1283,141,0,1291
1318,294,2900,604,0,0
286,0,1696,0,2591,0
431,434,1636,2718,5746,1596
0,13889,0,3883,0,288
5444,862,0,0,0,16729
7753,1748,0,0,2681,0
0,4579,3708,148,4002,426
2005,681,0,433,3567,145
0,4742,289,0,1141,283
964,1601,0,0,1335,288
569,808,7375,145,0,855
2879,1915,0,1304,146,625
503,9459,0,2228,0,289
2714,0,288,431,297,876
589,457,5736,436,867,9748
1168,582,4873,0,667,1448
5354,2747,0,148,342,5520
342,432,575,311,590,481
998,439,575,0,1591,575
1025,0,569,3567,3443,1419
0,1875,276,1003,0,496
335,443,2583,1788,0,18846
1153,884,7440,0,0,335
2734,1307,0,0,1718,503
0,1353,0,0,1017,3599
2619,1591,8538,3624,732,432
10456,460,1863,5601,489,0
