coe,quad,exploit,explore,lin,fast
7113,0,2680,4359,8881,8480
2629,3191,1953,0,0,782
7773,3745,5615,5791,1399,9093
2405,0,0,2530,2924,6767
0,15312,0,7961,0,8809
5241,1280,4240,5658,1633,9053
2935,1992,5320,1418,7739,8018
0,307,7496,1447,1392,11663
7069,12242,17761,0,8572,12614
13258,1379,5513,10648,8153,11423
1646,0,6057,11130,0,307
6561,0,0,1952,2801,10799
1892,1262,9684,0,1172,1895
2149,10732,7970,10777,4047,3739
5222,6752,1604,2122,0,894
8151,7808,10725,3737,0,9355
10060,14327,12774,3648,1264,13391
2128,9047,10760,0,5399,10558
0,7272,0,3650,0,0
3592,3994,21762,1758,0,0
10964,3975,2109,1991,11801,1495
186,2140,3015,4632,0,8340
8751,909,719,1969,1636,3727
4065,4609,2356,187,308,0
3011,5554,0,0,0,7702
0,9192,11216,2390,3490,11605
3535,1631,0,3307,1735,1653
9070,553,11290,0,7439,8510
0,3381,0,3962,9846,9789
0,7519,4298,12501,7222,6852
0,4569,0,2341,3604,0
1393,7326,8272,0,0,0
0,3912,6324,8586,0,0
3843,2735,3053,4641,8809,2123
11173,3290,13290,0,0,0
0,12810,0,11214,8978,2368
10788,3757,1436,7977,1039,9506
3684,5771,0,3929,10374,2139
4363,3805,8421,10504,5636,920
2035,1389,6434,15326,8589,6723
15776,0,8753,0,0,1636
0,0,8878,2672,0,0
0,0,15106,8913,653,3122
4519,13461,13609,0,1258,2201
672,5707,8288,0,2408,7192
6225,0,0,14652,14076,0
7728,8830,1238,0,2467,9673
12604,7148,2517,2707,0,6636
2109,14680,3069,0,1483,0
0,1871,8978,15690,5449,6303
3843,8177,3747,13473,10568,11033
9508,5308,8296,0,8265,0
11859,3186,8302,0,3912,1990
4520,7054,725,7102,3563,7732
13582,7580,4863,6388,15771,2207
1379,12194,9211,3592,0,7495
0,11226,6380,9858,1273,3389
5704,1158,3899,0,0,1136
2131,11333,723,3706,1879,2851
0,0,11367,8892,0,3171
3278,0,3783,5959,8074,4154
15861,6246,3546,8346,7098,9513
0,0,3020,6590,9668,8451
9312,6478,6001,6559,0,3846
0,0,12763,2574,6015,0
2379,10732,9643,0,0,13266
0,9518,2495,15238,10873,0
9347,9024,5628,6318,0,2902
0,2379,4249,2537,1385,11160
6907,8536,0,1811,2704,4187
1754,3931,2563,11130,10001,5893
2786,10186,5651,0,10360,4290
8902,0,9256,6181,1492,0
0,14326,6626,9931,8891,4632
5088,4031,9665,0,10956,2116
0,15759,13949,6383,3406,188
0,904,6405,0,0,8288
7636,1497,718,9019,4690,5490
2426,15447,5704,1808,4860,0
2800,0,715,0,15816,15604
2352,0,0,3708,0,0
1407,6142,4425,8182,6025,1405
0,3163,12529,7117,6483,12902
2364,0,16835,0,9342,4552
0,3447,1075,16118,0,0
665,3318,9874,0,5407,791
3125,0,0,7251,8603,0
4891,3368,0,11817,186,907
7806,5255,4689,5935,9996,7286
0,8288,17748,0,8990,12847
4996,1161,3392,2035,2386,669
0,0,0,0,3578,13314
0,8552,0,0,8227,5201
11072,0,8395,9505,1015,0
6661,0,2844,9004,551,4265
7953,0,0,910,2939,4813
12098,2700,0,0,10272,0
3634,0,0,0,0,4198
7791,3299,1062,1450,10870,2812
3133,0,0,0,16447,0
4357,12187,13365,1982,14057,9636
5672,8578,0,7366,8865,0
0,7002,4998,6376,9716,0
7178,3560,13981,11119,0,2378
9706,9842,1248,0,7128,2674
0,3698,3033,733,12346,8571
4717,0,0,7210,2442,0
0,11538,1600,1068,9521,9089
7700,4648,6356,1614,6092,0
672,12893,11790,5618,2370,7668
1171,9440,1787,0,8077,7239
0,0,0,0,5738,4094
0,1036,1070,6977,6993,5482
0,8022,0,9149,1872,1389
16182,1636,534,8616,3224,7855
8020,9247,0,2343,2194,0
4030,13417,0,9023,0,5179
6138,10784,0,0,0,14946
0,1388,2834,178,0,9421
11369,9737,6602,719,3544,11445
3458,16663,0,2345,2977,10619
0,7394,0,6143,5246,7598
1981,7541,0,4552,2363,0
1973,0,9100,0,549,6644
0,9082,0,3620,0,0
3566,677,2635,9427,1152,5387
0,3237,0,0,2371,0
11401,2895,6614,2205,14618,0
0,0,12459,3748,4184,10463
0,2443,0,0,9601,0
4977,6881,3247,2898,0,186
6098,8169,0,0,8728,12604
549,4970,8838,8525,7352,550
4411,8709,0,7042,4373,0
6465,9846,3007,11202,6137,4375
0,1882,0,3660,911,2937
910,3653,4988,6024,10407,3137
0,10667,14684,0,2879,1411
0,7269,2966,12297,16526,3129
5342,307,3926,5623,0,8898
1961,5713,7095,0,0,3924
6971,0,12493,0,0,0
0,14035,6610,0,7713,898
4904,0,8447,0,8457,1502
9169,7716,9660,7585,11092,5581
3376,0,0,4406,8976,7574
17565,2148,0,3201,5863,6630
7574,1994,21601,9967,0,0
9044,547,14363,2158,914,12732
1149,9681,3070,0,0,0
4974,3478,0,6647,0,3533
